"Município","ibge","latitude","longitude","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2010 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2011 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2012 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2013 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2014 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2015 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2016 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2017 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2018 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2019 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2020 (-)"
"Aceguá","4300034","-31.86075999999","-54.16705999999","...","...","...","...","...","...","...","...","...","...","..."
"Água Santa","4300059","-28.16720000000","-52.03099999999","...","...","...","...","...","...","...","...","...","...","..."
"Agudo","4300109","-29.6447","-53.2515","...","...","...","...","...","...","...","...","...","...","..."
"Ajuricaba","4300208","-28.23420000000","-53.77570000000","...","...","...","...","...","...","...","...","...","...","..."
"Alecrim","4300307","-27.65790000000","-54.76489999999","...","...","...","...","...","...","...","...","...","...","..."
"Alegrete","4300406","-29.79019999999","-55.79489999999","106","195","149","82","108","106","118","177","195","153","145"
"Alegria","4300455","-27.83449999999","-54.05570000000","...","...","...","...","...","...","...","...","...","...","..."
"Almirante Tamandaré do Sul","4300471","-28.10859999999","-52.91190000000","...","...","...","...","...","...","...","...","...","...","..."
"Alpestre","4300505","-27.2502","-53.03410000000","...","...","...","...","...","...","...","...","...","...","..."
"Alto Alegre","4300554","-28.77690000000","-52.98919999999","...","...","...","...","...","...","...","...","...","...","..."
"Alto Feliz","4300570","-29.3919","-51.3123","...","...","...","...","...","...","...","...","...","...","..."
"Alvorada","4300604","-29.99139999999","-51.0809","15","19","33","18","30","18","19","12","10","13","5"
"Amaral Ferrador","4300638","-30.87559999999","-52.25099999999","...","...","...","...","...","...","...","...","...","...","..."
"Ametista do Sul","4300646","-27.36070000000","-53.183","...","...","...","...","...","...","...","...","...","...","..."
"André da Rocha","4300661","-28.62829999999","-51.57970000000","...","...","...","...","...","...","...","...","...","...","..."
"Anta Gorda","4300703","-28.96979999999","-52.01019999999","...","...","...","...","...","...","...","...","...","...","..."
"Antônio Prado","4300802","-28.8565","-51.2883","...","...","...","...","...","...","...","...","...","...","..."
"Arambaré","4300851","-30.90930000000","-51.50460000000","...","...","...","...","...","...","...","...","...","...","..."
"Araricá","4300877","-29.61680000000","-50.92909999999","...","...","...","...","...","...","...","...","...","...","..."
"Aratiba","4300901","-27.3978","-52.29749999999","...","...","...","...","...","...","...","...","...","...","..."
"Arroio do Meio","4301008","-29.40139999999","-51.9557","...","...","...","...","...","...","...","...","...","...","..."
"Arroio do Padre","4301073","-31.4316","-52.41709999999","...","...","...","...","...","...","...","...","...","...","..."
"Arroio do Sal","4301057","-29.54390000000","-49.88949999999","...","...","...","...","...","...","...","...","...","...","..."
"Arroio do Tigre","4301206","-29.33480000000","-53.09660000000","...","...","...","...","...","...","...","...","...","...","..."
"Arroio dos Ratos","4301107","-30.08750000000","-51.72749999999","...","...","...","...","...","...","...","...","...","...","..."
"Arroio Grande","4301305","-32.23270000000","-53.08619999999","...","...","...","...","...","...","...","...","...","...","..."
"Arvorezinha","4301404","-28.87369999999","-52.17810000000","...","...","...","...","...","...","...","...","...","...","..."
"Augusto Pestana","4301503","-28.51729999999","-53.98830000000","...","...","...","...","...","...","...","...","...","...","..."
"Áurea","4301552","-27.6936","-52.0505","...","...","...","...","...","...","...","...","...","...","..."
"Bagé","4301602","-31.32969999999","-54.09989999999","332","417","334","230","278","129","291","405","446","407","424"
"Balneário Pinhal","4301636","-30.24190000000","-50.23360000000","...","...","...","...","...","...","...","...","...","...","..."
